5 3 BX7202 -5.9571,-8.9718 41 16 7 0 120 30 8 366561 2 0 0 7 1 2 1      
0 2 BNS7A 0.6626,-7.9781 9 195 2 471.44 471.44 3 25 244510 0 0 0 1 1 2 1 1     
6 3 KM583UL -6.3286,9.2065 18347 50 44 0 1000 100 138000 2 9000 5056 2 48 212370 3 0 0 4 1 4 5 4
6 5 NN790TN 3.4859,-4.7108 5112 50 4 3 1000 80 116000 2 19500 500 2 95 310867 1 0 0 3 0 0 5 3
4 3 VW750OC -1.3231,-7.9073 27858 60 41 2 1000 160 85 405127 2 0 0 4 2 4 0      
0 2 3QZD7 -6.6513,-1.7336 9 138 2 359.82 10 3 44 392608 1 0 0 6 1 4 1 1     
2 4 542FKS -1.3231,-7.9073 7 17 2 14 5 2 92 322921 0 0 0 4 0 0 1 1     
1 5 VT550JH -1.3231,-7.9073 27858 170000 4 44200 24831 2 98 364471 0 0 0 0 1 4 2 4     
6 1 XO65VV 6.1793,0.2232 11363 70 6 2 1000 90 226000 3 37800 0 3 93 154767 3 0 0 4 0 0 5 3
2 5 385PCV -4.1087,0.5959 6 45 2 24 24 2 5 75707 3 0 0 4 0 0 1 1     
5 4 BK89856 7.1965,-4.2541 31 24 17 0 140 22 80 472176 3 0 0 2 1 2 1      
3 5 AD1530 4.2578,3.3875 27 45 2 79 79 2 11 146238 3 0 0 7 0 0 2 2     
4 0 HJ014XM 0.6626,-7.9781 20703 60 51 2 1000 170 23 144858 0 0 0 4 5 5 0      
3 0 JS58979 -7.3745,-1.5853 13 80 2 250 250 3 30 460460 2 0 0 2 1 2 1 2     
4 5 CW318IA -7.3745,-1.5853 220 50 25 3 1400 100 15 358401 2 0 0 8 5 4 0      
2 1 877VIF -9.2906,-5.8089 1 29 1 60 60 1 4 139588 3 0 0 2 1 4 1 1     
0 0 SJO8V -8.3196,1.7676 20 160 2 198.97 188 2 50 521284 3 0 0 0 1 3 1 1     
4 5 KZ680YD -8.3196,1.7676 29252 50 36 3 2000 80 24 102680 3 0 0 2 5 4 0      
0 4 43XGS 1.9281,-8.8326 12 81 1 492.83 482 2 46 129064 3 0 0 5 0 0 1 1     
4 4 UD373LA -85.7985,53.5773 28592 40 33 0 1000 140 16 52699 3 0 0 2 5 5 0      
3 3 QC49117 3.4859,-4.7108 13 119 1 231 231 1 24 124783 3 0 0 2 1 4 2 2     
