1 ZL895RK 5.1015,2.6190 11902 152000 2 267000 89000 3 1 4 5 4
2 LJ711LY 0.6626,-7.9781 20703 148000 4 412000 78000 1 1 3 5 5
1 VL162CS 3.853,-5.7275 8380 81000 3 492000 83000 2 0 0 5 5
1 GZ454GG -3.8060,-6.8593 8413 127000 3 90000 60000 3 0 0 5 5
4 HR488OT 3.4859,-4.7108 25958 118000 3 116000 54000 3 1 2 5 5
4 DP23SA -6.6513,-1.7336 4442 175000 2 369000 54000 1 1 1 5 3
4 VW913VJ 3.954,0.6248 19045 243000 2 457000 28000 3 1 4 5 5
0 AC48BX -4.1087,0.5959 15431 149000 4 144000 20000 2 1 2 5 4
4 LF581BA 6.1793,0.2232 19877 229000 2 178000 73000 2 0 0 5 5
1 MB973AR -4.5634,-8.7007 18347 195000 2 471000 44000 3 1 2 2 3
1 DD111NS 9.4830,-2.9607 3419 126000 4 195000 57000 1 0 0 5 5
4 IN208LP 4.2578,3.3875 6311 147000 3 435000 91000 3 1 4 5 3
2 AU731NU 7.1965,-4.2541 19281 198000 2 293000 80000 3 0 0 5 3
3 OC257GJ 8.3816,-1.3268 24221 69000 3 140000 1000 3 1 4 2 4
1 XH794MQ -8.3196,1.7676 29252 160000 2 198000 97000 1 1 3 5 4
3 GT919IM -7.3745,-1.5853 220 138000 2 359000 82000 2 1 4 5 4
5 DU565UU -9.6268,-3.5308 12983 108000 2 373000 40000 3 0 0 5 5
1 SL428ES -7.8453,1.940 22080 240000 4 50000 71000 2 0 0 5 5
0 DM864UN -6.3286,9.2065 15457 155000 3 210000 70000 1 0 0 2 4
4 EO22WB -9.3626,2.5129 17046 116000 2 361000 84000 2 0 0 5 3
0 SO989HK -5.9571,-8.9718 4769 226000 3 224000 89000 3 0 0 5 3
5 PE219GO 5.3031,-4.4813 9257 129000 3 474000 47000 1 0 0 5 4
0 OA939OE -6.1867,-7.8468 6324 245000 3 334000 63000 1 0 0 5 3
1 KT756CZ 2.7486,-4.6150 14777 189000 2 496000 9000 2 1 4 5 4
5 VT550JH -1.3231,-7.9073 27858 170000 4 442000 11000 2 1 4 2 4
0 WN838KD 1.9281,-8.8326 5112 85000 4 101000 47000 3 0 0 5 4
0 HF643BV -9.3994,9.5705 18770 118000 2 478000 61000 3 1 2 5 4
3 IU233CT -9.2906,-5.8089 5082 225000 4 201000 32000 3 1 3 5 3
3 EW902EL -85.7985,53.5773 28592 77000 3 378000 1000 2 1 2 5 5
2 BO596SM 6.4847,3.5324 11363 67000 4 152000 66000 2 0 0 5 5
