4 WE13991 -85.7985,53.5773 45 105 2 140 140 2 1 4 2 2
4 OM96206 -4.5634,-8.7007 20 101 1 216 216 2 1 3 2 2
4 DM77474 1.9281,-8.8326 38 56 1 258 258 2 0 0 1 2
2 TI19992 -3.8060,-6.8593 13 87 2 45 45 1 0 0 1 2
0 GJ75406 -9.6268,-3.5308 31 80 1 60 60 3 1 2 1 2
0 MG70277 -9.3626,2.5129 31 122 2 193 193 1 1 1 2 2
1 AY24235 5.1015,2.6190 34 168 1 239 239 2 1 4 1 2
3 MY89731 5.3031,-4.4813 17 101 1 76 76 3 1 2 1 2
5 HQ44204 -4.1087,0.5959 31 157 2 91 91 2 0 0 2 2
2 HW60586 0.6626,-7.9781 13 136 2 247 247 3 1 2 2 2
0 AM66233 3.954,0.6248 13 87 1 102 102 3 0 0 1 2
1 LI72876 -9.2906,-5.8089 13 101 1 228 228 1 1 4 2 2
4 KU69984 -7.8453,1.940 10 136 2 152 152 1 0 0 2 2
3 HH38183 -6.1867,-7.8468 20 45 2 190 190 3 1 4 1 2
0 SP31397 -8.3196,1.7676 17 112 2 102 102 2 1 3 1 2
2 KO92561 -6.6513,-1.7336 10 94 2 190 190 3 1 4 2 2
1 XX63454 -6.3286,9.2065 41 73 2 193 193 2 0 0 2 2
0 OH78181 6.1793,0.2232 10 168 2 26 26 1 0 0 1 2
3 IJ50899 -9.3994,9.5705 20 108 1 110 110 1 0 0 2 2
3 KC19141 6.4847,3.5324 45 80 2 190 190 2 0 0 2 2
5 NK66600 7.1965,-4.2541 31 157 2 117 117 3 0 0 1 2
2 JX97982 8.3816,-1.3268 13 87 2 247 247 3 0 0 1 2
4 CS49227 2.7486,-4.6150 38 171 1 174 174 1 0 0 2 2
4 QI24812 3.853,-5.7275 17 129 2 209 209 3 1 4 2 2
3 QC49117 3.4859,-4.7108 13 119 1 231 231 1 1 4 2 2
4 NU33554 -1.3231,-7.9073 34 59 2 53 53 2 0 0 1 2
0 JS58979 -7.3745,-1.5853 13 80 2 250 250 3 1 2 1 2
5 JO71619 -5.9571,-8.9718 41 157 2 102 102 3 1 3 1 2
0 MP58864 9.4830,-2.9607 20 52 1 262 262 3 1 2 1 2
5 AD1530 4.2578,3.3875 27 45 2 79 79 2 0 0 2 2
