4 ROEUH -85.7985,53.5773 4 152 2 267.89 267.89 2
4 3GBE0 -4.5634,-8.7007 14 148 1 412.78 412.78 2
4 43XGS 1.9281,-8.8326 12 81 1 492.83 482 2
2 U2N8L -3.8060,-6.8593 12 127 2 90.60 90.60 1
0 5VIEB -9.6268,-3.5308 16 118 1 116.54 106 3
0 W16ES -9.3626,2.5129 13 175 2 369.54 369.54 1
1 GFFCP 5.1015,2.6190 16 243 1 457.28 457.28 2
3 KSMWC 5.3031,-4.4813 18 149 1 144.20 144.20 3
5 R2YQ5 -4.1087,0.5959 15 229 2 178.73 168 2
2 BNS7A 0.6626,-7.9781 9 195 2 471.44 471.44 3
0 KGVJG 3.954,0.6248 13 126 1 195.57 185 3
1 YXHXI -9.2906,-5.8089 15 147 1 435.91 425 1
4 T4DUZ -7.8453,1.940 3 198 2 293.80 293.80 1
3 82X0T -6.1867,-7.8468 24 69 2 140.1 130 3
0 SJO8V -8.3196,1.7676 20 160 2 198.97 188 2
2 3QZD7 -6.6513,-1.7336 9 138 2 359.82 349 3
1 JG7PX -6.3286,9.2065 9 108 2 373.40 363 2
0 WJ0KT 6.1793,0.2232 13 240 2 50.71 50.71 1
3 TBAFA -9.3994,9.5705 14 155 1 210.70 210.70 1
3 YUQRQ 6.4847,3.5324 20 116 2 361.84 361.84 2
5 SK2C3 7.1965,-4.2541 9 226 2 224.89 214 3
2 9V4MV 8.3816,-1.3268 22 129 2 474.47 474.47 3
4 C5V65 2.7486,-4.6150 9 245 1 334.63 324 1
4 SJW4Z 3.853,-5.7275 14 189 2 496.9 486 3
3 U67GG 3.4859,-4.7108 17 170 1 442.11 432 1
4 MQVT7 -1.3231,-7.9073 17 85 2 101.47 101.47 2
0 ZI78E -7.3745,-1.5853 25 118 2 478.61 478.61 3
5 LEO8G -5.9571,-8.9718 7 225 2 201.32 191 3
0 6DVX7 9.4830,-2.9607 4 77 1 378.1 368 3
5 KWJHY 4.2578,3.3875 16 67 2 152.66 142 2
