4 232LPY -85.7985,53.5773 10 30 2 37 37 2 1 4 1 1
4 947FIU -4.5634,-8.7007 3 29 1 57 57 2 1 3 1 1
4 389GMM 1.9281,-8.8326 8 16 1 68 68 2 0 0 1 1
2 442REU -3.8060,-6.8593 1 25 2 12 12 1 0 0 1 1
0 956TUQ -9.6268,-3.5308 6 23 1 16 16 3 1 2 1 1
0 345YNK -9.3626,2.5129 6 35 2 51 51 1 1 1 1 1
1 622GXK 5.1015,2.6190 7 48 1 63 63 2 1 4 1 1
3 782HBP 5.3031,-4.4813 2 29 1 20 20 3 1 2 1 1
5 385PCV -4.1087,0.5959 6 45 2 24 24 2 0 0 1 1
2 938MOO 0.6626,-7.9781 1 39 2 65 65 3 1 2 1 1
0 35KHT 3.954,0.6248 1 25 1 27 27 3 0 0 1 1
1 877VIF -9.2906,-5.8089 1 29 1 60 60 1 1 4 1 1
4 41WVL -7.8453,1.940 0 39 2 40 40 1 0 0 1 1
3 653WBF -6.1867,-7.8468 3 13 2 50 50 3 1 4 1 1
0 720LWU -8.3196,1.7676 2 32 2 27 27 2 1 3 1 1
2 113LUL -6.6513,-1.7336 0 27 2 50 50 3 1 4 1 1
1 436FMJ -6.3286,9.2065 9 21 2 51 51 2 0 0 1 1
0 321GNW 6.1793,0.2232 0 48 2 7 7 1 0 0 1 1
3 252BFT -9.3994,9.5705 3 31 1 29 29 1 0 0 1 1
3 597IPN 6.4847,3.5324 10 23 2 50 50 2 0 0 1 1
5 1QQJ 7.1965,-4.2541 6 45 2 31 31 3 0 0 1 1
2 399OEK 8.3816,-1.3268 1 25 2 65 65 3 0 0 1 1
4 996IRN 2.7486,-4.6150 8 49 1 46 46 1 0 0 1 1
4 931NRP 3.853,-5.7275 2 37 2 55 55 3 1 4 1 1
3 144WTN 3.4859,-4.7108 1 34 1 61 61 1 1 4 1 1
4 542FKS -1.3231,-7.9073 7 17 2 14 14 2 0 0 1 1
0 527NUU -7.3745,-1.5853 1 23 2 66 66 3 1 2 1 1
5 55WOE -5.9571,-8.9718 9 45 2 27 27 3 1 3 1 1
0 944KCF 9.4830,-2.9607 3 15 1 69 69 3 1 2 1 1
5 506RCD 4.2578,3.3875 5 13 2 21 21 2 0 0 1 1
