2 MG39561 -85.7985,53.5773 45 24 17 0 200 28 2 2
0 PI75953 -4.5634,-8.7007 20 24 17 0 100 34 2 2
3 ST52814 1.9281,-8.8326 38 24 13 0 200 36 1 2
3 CK7367 -3.8060,-6.8593 13 24 14 0 140 22 1 2
5 RC46079 -9.6268,-3.5308 31 32 21 0 120 26 1 2
4 YC16428 -9.3626,2.5129 31 16 10 0 120 38 2 2
1 VI54354 5.1015,2.6190 34 20 9 0 100 28 1 2
1 IY8582 5.3031,-4.4813 17 28 19 0 200 34 1 2
1 JF78225 -4.1087,0.5959 31 28 23 0 100 20 2 2
3 NE86042 0.6626,-7.9781 13 20 14 0 100 20 2 2
5 FR40010 3.954,0.6248 13 32 26 0 140 18 1 2
4 IT51882 -9.2906,-5.8089 13 32 25 0 120 26 2 2
1 TA64211 -7.8453,1.940 10 28 13 0 100 20 2 2
0 LR50853 -6.1867,-7.8468 20 28 22 0 140 12 1 2
5 JV55903 -8.3196,1.7676 17 20 12 0 200 16 1 2
5 QM24997 -6.6513,-1.7336 10 20 8 0 140 20 2 2
4 QO33332 -6.3286,9.2065 41 16 4 0 120 24 2 2
5 JX15122 6.1793,0.2232 10 20 8 0 140 18 1 2
4 QC79193 -9.3994,9.5705 20 20 11 0 100 30 2 2
3 LI59801 6.4847,3.5324 45 20 10 0 120 18 2 2
4 BK89856 7.1965,-4.2541 31 24 17 0 140 22 1 2
5 ZL81003 8.3816,-1.3268 13 28 20 0 100 24 1 2
2 DK42290 2.7486,-4.6150 38 32 17 0 200 26 2 2
1 OB25307 3.853,-5.7275 17 20 11 0 200 24 2 2
3 YB26166 3.4859,-4.7108 13 24 13 0 100 32 2 2
3 UY24320 -1.3231,-7.9073 34 20 12 0 100 16 1 2
0 LQ10586 -7.3745,-1.5853 13 20 7 0 200 22 1 2
3 BX7202 -5.9571,-8.9718 41 16 7 0 120 30 1 2
4 TB41181 9.4830,-2.9607 20 16 11 0 100 28 1 2
2 GK72459 4.2578,3.3875 27 28 18 0 100 18 2 2
