4 ROEUH -85.7985,53.5773 4 152 2 267.89 267.89 2 91 673 1 0 0 2 1 4 1 1 0
4 3GBE0 -4.5634,-8.7007 14 148 1 412.78 412.78 2 55 407 1 0 0 6 1 3 1 1 0
4 43XGS 1.9281,-8.8326 12 81 1 492.83 482 2 81 599 3 0 0 8 0 0 1 1 0
2 U2N8L -3.8060,-6.8593 12 127 2 90.60 90.60 1 87 643 1 0 0 0 0 0 1 1 0
0 5VIEB -9.6268,-3.5308 16 118 1 116.54 106 3 99 732 0 0 0 4 1 2 1 1 0
0 W16ES -9.3626,2.5129 13 175 2 369.54 369.54 1 45 333 2 0 1 1 1 1 1 1 0
1 GFFCP 5.1015,2.6190 16 243 1 457.28 457.28 2 7 51 1 0 0 1 1 4 1 1 0
3 KSMWC 5.3031,-4.4813 18 149 1 144.20 144.20 3 75 555 0 0 1 8 1 2 1 1 0
5 R2YQ5 -4.1087,0.5959 15 229 2 178.73 168 2 1 7 3 0 1 4 0 0 1 1 0
2 BNS7A 0.6626,-7.9781 9 195 2 471.44 471.44 3 15 111 2 0 0 5 1 2 1 1 0
0 KGVJG 3.954,0.6248 13 126 1 195.57 185 3 21 155 1 0 0 7 0 0 1 1 0
1 YXHXI -9.2906,-5.8089 15 147 1 435.91 425 1 62 458 3 0 0 7 1 4 1 1 0
4 T4DUZ -7.8453,1.940 3 198 2 293.80 293.80 1 86 636 3 0 0 3 0 0 1 1 0
3 82X0T -6.1867,-7.8468 24 69 2 140.1 130 3 29 214 0 0 1 3 1 4 1 1 0
0 SJO8V -8.3196,1.7676 20 160 2 198.97 188 2 64 473 1 0 0 6 1 3 1 1 0
2 3QZD7 -6.6513,-1.7336 9 138 2 359.82 349 3 66 488 2 0 0 7 1 4 1 1 0
1 JG7PX -6.3286,9.2065 9 108 2 373.40 363 2 22 162 0 0 1 4 0 0 1 1 0
0 WJ0KT 6.1793,0.2232 13 240 2 50.71 50.71 1 17 125 0 0 1 4 0 0 1 1 0
3 TBAFA -9.3994,9.5705 14 155 1 210.70 210.70 1 28 207 3 0 0 9 0 0 1 1 0
3 YUQRQ 6.4847,3.5324 20 116 2 361.84 361.84 2 94 695 0 0 0 1 0 0 1 1 0
5 SK2C3 7.1965,-4.2541 9 226 2 224.89 214 3 78 577 2 0 0 9 0 0 1 1 0
2 9V4MV 8.3816,-1.3268 22 129 2 474.47 474.47 3 13 96 1 0 1 1 0 0 1 1 0
4 C5V65 2.7486,-4.6150 9 245 1 334.63 324 1 79 584 0 0 0 7 0 0 1 1 0
