2 CY533ZH -3.8060,-6.8593 29252 50 36 3 2000 80 77000 3 378000 1000 2 60 444 2 0 1 6 1 2 5 5
1 GK410ZG -6.6513,-1.7336 25958 80 64 1 1200 130 170000 4 442000 11000 2 35 259 1 0 0 7 1 4 2 4
2 GM900FU -4.5634,-8.7007 9257 70 62 1 1000 120 152000 2 267000 89000 3 63 466 1 0 0 1 1 4 5 4
3 KM583UL -6.3286,9.2065 18347 50 44 0 1000 100 138000 2 359000 82000 2 90 666 3 0 1 2 1 4 5 4
2 JJ456YI 5.3031,-4.4813 19045 50 27 3 1000 140 243000 2 457000 28000 3 60 444 1 0 0 8 1 4 5 5
1 ZQ539DT 2.7486,-4.6150 8380 60 41 2 2000 180 198000 2 293000 80000 3 58 429 1 0 1 4 0 0 5 3
4 GY10YN -6.1867,-7.8468 12983 40 13 0 1200 120 118000 2 478000 61000 3 95 703 2 0 1 9 1 2 5 4
3 SR458MP 1.9281,-8.8326 14777 50 34 1 2000 120 245000 3 334000 63000 1 53 392 1 0 0 2 0 0 5 3
5 KR209KS -7.8453,1.940 15457 50 34 2 1000 150 175000 2 369000 54000 1 75 555 2 0 0 5 1 1 5 3
3 CM459OW 3.853,-5.7275 5082 40 23 2 1200 150 189000 2 496000 9000 2 96 710 0 0 0 1 1 4 5 4
5 NN790TN 3.4859,-4.7108 5112 50 36 3 1000 80 116000 2 361000 84000 2 29 214 2 0 0 2 0 0 5 3
3 OX450FS 8.3816,-1.3268 20703 60 51 2 1000 170 108000 2 373000 40000 3 68 503 0 0 0 4 0 0 5 5
0 EN469NN -9.3994,9.5705 6324 80 51 1 2000 130 69000 3 140000 1000 3 75 555 3 0 0 3 1 4 2 4
3 VW541IE -9.6268,-3.5308 6311 80 75 3 1200 130 229000 2 178000 73000 2 71 525 1 0 0 1 0 0 5 5
0 WQ403TZ -1.3231,-7.9073 8413 60 43 2 1400 110 118000 3 116000 54000 3 30 222 1 0 0 2 1 2 5 5
2 IM296GG 7.1965,-4.2541 18770 50 22 1 2000 110 67000 4 152000 66000 2 75 555 3 0 0 1 0 0 5 5
0 OR779AQ 5.1015,2.6190 4769 60 52 0 1400 110 147000 3 435000 91000 3 76 562 3 0 0 1 1 4 5 3
0 JT326PP 0.6626,-7.9781 28592 40 33 0 1000 140 225000 4 201000 32000 3 59 436 0 0 0 0 1 3 5 3
2 VI293MF -7.3745,-1.5853 24221 70 66 3 1400 60 195000 2 471000 44000 3 61 451 1 0 0 1 1 2 2 3
3 EY700FB -8.3196,1.7676 15431 70 57 2 2000 170 160000 2 198000 97000 1 0 0 1 0 0 6 1 3 5 4
2 TS437JH -9.3626,2.5129 220 50 25 3 1400 100 149000 4 144000 20000 2 42 310 2 0 0 4 1 2 5 4
0 LI97NY -5.9571,-8.9718 19877 70 70 0 1000 100 81000 3 492000 83000 2 80 592 2 0 0 2 0 0 5 5
4 CS749CO 9.4830,-2.9607 27858 60 41 2 1000 160 129000 3 474000 47000 1 16 118 1 0 0 4 0 0 5 4
0 FP617OL -4.1087,0.5959 17046 50 31 3 1200 90 127000 3 90000 60000 3 5 37 1 0 0 9 0 0 5 5
5 CH612PH 3.954,0.6248 22080 50 24 3 1400 90 126000 4 195000 57000 1 83 614 3 0 0 5 0 0 5 5
0 SV103NW 4.2578,3.3875 11902 60 53 0 2000 140 240000 4 50000 71000 2 91 673 2 0 0 6 0 0 5 5
0 CQ73EM -85.7985,53.5773 3419 80 80 1 1400 90 85000 4 101000 47000 3 9 66 2 0 0 6 0 0 5 4
4 OJ793QM 6.4847,3.5324 4442 40 30 0 1200 190 148000 4 412000 78000 1 96 710 1 0 0 0 1 3 5 5
1 XO65VV 6.1793,0.2232 11363 70 54 2 1000 90 226000 3 224000 89000 3 43 318 2 0 1 5 0 0 5 3
3 UR601HW -9.2906,-5.8089 19281 70 41 2 1000 100 155000 3 210000 70000 1 30 222 2 0 1 9 0 0 2 4
