2 JF067ZK 5.1015,2.6190 11902 60 53 0 2000 140 49 362 1 0 0 1 5 4 0
0 HJ014XM 0.6626,-7.9781 20703 60 51 2 1000 170 67 495 2 0 0 0 5 5 0
3 SG335WH 3.853,-5.7275 8380 60 41 2 2000 180 76 562 1 0 0 0 5 5 0
3 MF004CN -3.8060,-6.8593 8413 60 43 2 1400 110 58 429 0 0 1 4 5 5 0
5 ZH585WM 3.4859,-4.7108 25958 80 64 1 1200 130 53 392 0 0 0 4 5 5 0
4 OF257UP -6.6513,-1.7336 4442 40 30 0 1200 190 9 66 2 0 0 9 5 3 0
1 EO531BK 3.954,0.6248 19045 50 27 3 1000 140 31 229 2 0 1 0 5 5 0
1 WG845EV -4.1087,0.5959 15431 70 57 2 2000 170 42 310 1 0 1 1 5 4 0
1 YH784MD 6.1793,0.2232 19877 70 70 0 1000 100 34 251 2 0 1 2 5 5 0
3 QP072CE -4.5634,-8.7007 18347 50 44 0 1000 100 82 606 2 0 1 7 2 3 0
5 XD546NA 9.4830,-2.9607 3419 80 80 1 1400 90 21 155 1 0 0 5 5 5 0
4 XC726MV 4.2578,3.3875 6311 80 75 3 1200 130 5 37 2 0 0 5 5 3 0
1 IX557SV 7.1965,-4.2541 19281 70 41 2 1000 100 91 673 2 0 0 4 5 3 0
0 BR239IB 8.3816,-1.3268 24221 70 66 3 1400 60 50 370 1 0 0 5 2 4 0
5 KZ680YD -8.3196,1.7676 29252 50 36 3 2000 80 95 703 1 0 1 7 5 4 0
5 CW318IA -7.3745,-1.5853 220 50 25 3 1400 100 57 421 2 0 0 9 5 4 0
4 ES201VK -9.6268,-3.5308 12983 40 13 0 1200 120 1 7 1 0 0 9 5 5 0
5 YQ629IU -7.8453,1.940 22080 50 24 3 1400 90 75 555 0 0 0 9 5 5 0
4 BC284TZ -6.3286,9.2065 15457 50 34 2 1000 150 72 532 2 0 0 5 2 4 0
3 DS600GQ -9.3626,2.5129 17046 50 31 3 1200 90 54 399 1 0 0 7 5 3 0
4 MG660OI -5.9571,-8.9718 4769 60 52 0 1400 110 81 599 3 0 0 0 5 3 0
5 MC285ZL 5.3031,-4.4813 9257 70 62 1 1000 120 6 44 0 0 0 7 5 4 0
2 JO500EP -6.1867,-7.8468 6324 80 51 1 2000 130 88 651 3 0 0 8 5 3 0
1 EQ349BE 2.7486,-4.6150 14777 50 34 1 2000 120 7 51 0 0 0 5 5 4 0
3 VW750OC -1.3231,-7.9073 27858 60 41 2 1000 160 79 584 0 0 0 0 2 4 0
3 KU180JW 1.9281,-8.8326 5112 50 36 3 1000 80 26 192 3 0 1 1 5 4 0
0 LO672MH -9.3994,9.5705 18770 50 22 1 2000 110 35 259 1 0 0 1 5 4 0
3 FZ803MW -9.2906,-5.8089 5082 40 23 2 1200 150 74 547 1 0 0 0 5 3 0
4 UD373LA -85.7985,53.5773 28592 40 33 0 1000 140 59 436 2 0 0 0 5 5 0
2 KI146VZ 6.4847,3.5324 11363 70 54 2 1000 90 18 133 2 0 0 0 5 5 0
2 MG39561 -85.7985,53.5773 45 24 17 0 200 28 24 177 2 0 0 3 2 2 1
0 PI75953 -4.5634,-8.7007 20 24 17 0 100 34 52 384 2 0 1 4 2 2 1
3 ST52814 1.9281,-8.8326 38 24 13 0 200 36 63 466 1 0 0 8 1 2 1
3 CK7367 -3.8060,-6.8593 13 24 14 0 140 22 98 725 3 0 0 8 1 2 1
5 RC46079 -9.6268,-3.5308 31 32 21 0 120 26 20 148 1 0 0 1 1 2 1
4 YC16428 -9.3626,2.5129 31 16 10 0 120 38 2 14 2 0 0 7 2 2 1
